Variable,Mean,Median,Std_Dev,Variance,Skewness,Kurtosis
year,2021.0105508320005,2021.0,2.003840969438296,4.015378630799411,-0.004126750878214725,-1.2531966290342134
quarter,2.5034935600639785,3.0,1.1180316677417046,1.2499948100732974,-0.004894128451923114,-1.3599366511807187
count,14572889.340769425,992071.0,74258838.87341507,5514375150827820.0,14.405460242079158,280.84755570322056
amount,21274703647.224705,1615396730.667015,112531901409.14578,1.2663428834757706e+22,14.741232911887812,276.05601771293544
pincode,519319.3649364936,530026.0,247215.01400437995,61115263149.185776,,
